,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,max_acceleration,max_velocity
2446,1,-3.0020196211401386,False,0.29999999999999993,0.29999999999999993,1.8208149718407283,0.20767503045400165,0.623025091362005
2447,166,2.859796938061015,True,0.9859212837994704,0.0817287276190215,0.11353499168103158,0.37685673197581626,1.1305701959274488
2448,61,2.9809479515289983,True,0.9675899011987404,0.18919484202856834,0.28757035719874613,0.3073500998211925,0.9220502994635775
2449,120,-3.057156047550059,False,0.9540821059491782,0.10734630311002762,0.14757729908430767,0.03450835714208063,0.10352507142624189
2450,46,-3.0573611105899254,False,0.937434265075218,0.20821952690927575,0.2206642356887299,0.6185733157068536,1.8557199471205608
2451,33,-3.051914068496129,False,0.8650884102195721,0.2640111496485787,1.6491668517512075,0.5057770359417594,1.517331107825278
2452,94,-3.0688838944877426,False,0.9699675539358451,0.1319030856544388,0.1795446111669894,0.24137799043518418,0.7241339713055526
2453,133,2.9755589996035883,True,0.9517081798888998,0.200458749366433,0.3260343731986024,0.06690296601948353,0.2007088980584506
2454,174,-3.254160413081269,False,0.9877644179680882,0.12877819026777537,0.5551713360724426,0.040243805749370656,0.12073141724811197
2455,3,-3.00487645857074,False,0.5945865375376794,0.30000000000000004,0.2781459780216268,0.3547665518153296,1.064299655445989
2456,20,2.9977383992856876,True,0.9278645573836176,0.2735064682310235,3.381985464113948,0.22060171593541728,0.6618051478062519
2457,126,2.918826572718709,True,0.9828886041071933,0.14809294081267776,0.14871745593769353,0.24956265296007524,0.7486879588802258
2458,60,2.984954293521687,True,0.9536054363540182,0.23256597402333704,0.8044287767047557,0.26885371587498264,0.8065611476249479
2459,153,2.87870685470588,True,0.989901527256226,0.10302323100553827,0.25668952105678206,0.17860724111716136,0.5358217233514841
2460,156,2.872822066974571,True,0.9870913320401099,0.0997743489578483,0.13110670836715083,0.16526272515667406,0.4957881754700222
2461,27,-3.0326299085673596,False,0.9092029950818855,0.22885196126775117,1.5170408645840572,0.37102600011885534,1.1130780003565661
2462,44,-3.015864857361986,False,0.9493350957884675,0.22252503338033283,0.3263147630459381,0.45600388134953024,1.3680116440485908
2463,15,-3.025743347151344,False,0.8200115540224239,0.15385138177737095,0.5345071317491737,0.12086002025829093,0.3625800607748728
2464,172,2.890777190365524,True,0.9682237883329396,0.1125704793477965,0.17223276917590183,0.04476794508051074,0.13430383524153222
2465,133,2.911248990590243,True,0.9722377265752943,0.1967214781252232,0.24501711328964143,0.1900237679923012,0.5700713039769036
2466,98,-3.093688715182143,False,0.9026259167282372,0.19078019328151258,0.2546214153469704,0.49909168083234967,1.4972750424970491
2467,118,2.928082974940048,True,0.9767205300869862,0.16834949714046515,0.18036958871521486,0.03710324853428837,0.1113097456028651
2468,127,2.915524978736166,True,0.981010302422707,0.11551673817037092,0.1701765568035264,0.5267906760266128,1.5803720280798383
2469,130,-3.0740593674247365,False,0.9572635016766432,0.17408287660057503,0.7522358776634432,0.08593683168994921,0.25781049506984766
2470,78,-3.011661801834066,False,0.9602539960276425,0.18271201523095093,0.4078026749292774,0.09672968406562221,0.29018905219686664
2471,221,2.771471926805289,True,0.9793864110639368,0.11329937738069702,0.13410076877367796,0.030188147114075543,0.09056444134222663
2472,160,-3.1279019776338295,False,0.9868866502445085,0.10755743182942665,0.13554934916432712,0.2662801077201894,0.7988403231605682
2473,147,-3.1445924345027505,False,0.9845153601582968,0.11937742190256805,0.8030133245557486,0.3372500743897254,1.0117502231691762
