,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,separation_range
5517,197,2.8143426958318782,True,0.9805581285759116,0.18948893888022986,0.6916993201329835,27.07315790305261
5518,35,-3.061988675811909,False,0.9465141114746446,0.18633851165005164,0.19375667399489643,15.700294507320134
5519,177,2.8564226011219676,True,0.9825672390345712,0.1512186166242081,0.3242600831310563,28.412374029308065
5520,231,2.7650744639781393,True,0.983707094950012,0.17476046102711687,0.17415019975791723,24.467861378203338
5521,158,2.8911129524339225,True,0.9781128105583246,0.18903400949203145,0.2193163427032103,24.25456435287559
5522,151,2.9025220983521365,True,0.9745304720852997,0.18682282255242896,0.18723704492277396,31.513499208146428
5523,27,2.9956524336803487,True,0.9239618885926107,0.1975646449867567,0.23349981376539355,25.95005464281349
5524,146,2.8928662088558768,True,0.9681626274332273,0.1642858024132663,0.18077955833292858,17.416354054834255
5525,27,2.9984877222947097,True,0.8772376629173883,0.21403371951866837,0.8007248543175712,30.21028770956924
5526,194,2.860188673145413,True,0.9753020298644703,0.19444663999736267,0.22555949405760453,21.769731801829533
5527,74,-3.051415315923663,False,0.9747635141181563,0.15298035608199598,1.3112022474797294,4.257062648722227
5528,123,2.925766145973403,True,0.9826076658655156,0.16450786496120037,0.20174917099856104,27.450384649327695
5529,105,2.9474626961584205,True,0.952008091305767,0.13101847989564877,0.5236956166101483,6.050047631183908
5530,1,-3.001167763728689,False,0.29999999999999993,0.29999999999999993,1.7851042286649355,2.2015417062437725
5531,92,2.9561826673890943,True,0.979153342620001,0.10671765717743763,0.11085516982251553,3.2246688913354538
5532,131,2.9465902216292963,True,0.9841982102143452,0.11926765886277503,0.19628393278588502,1.3877803272369205
5533,135,2.9593224555690583,True,0.9566797222934107,0.22090100173364519,0.3975399582600813,22.168376396980797
5534,144,2.898090759879297,True,0.9805364121177494,0.09553090669417356,0.10638858981105251,8.55376552243381
5535,1,-3.0006728256308084,False,0.3,0.3,0.037772620878418206,6.153543018607142
5536,202,2.8847674654892663,True,0.964339545844364,0.19805609299413918,0.28456649835379544,19.53690363727874
5537,137,2.9378891894235,True,0.9790980190340335,0.18919130103831439,0.22984136018186055,30.03776477404329
