,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,max_velocity
2390,61,2.9794584682338794,True,0.9778564687721992,0.15353105391514735,0.2272894494912676,1.2882785419219431
2391,32,2.993898033438486,True,0.9559778953726804,0.13561739454718408,0.22972949765309716,1.770078769026983
2392,20,-3.0177792785470436,False,0.8105498895039058,0.24573179972589906,0.2581734463191948,1.7241361488055282
2393,31,-3.0127779501893035,False,0.9412827087683976,0.1684068842878191,1.1130548921933294,1.455578355957905
2394,12,2.9990487265822043,True,0.8618459133985205,0.2667610142995266,0.48553191367116116,0.6565244937434225
2395,160,2.873274813822792,True,0.9910074236765007,0.07933991743622792,0.0988515530338429,0.02227541398819599
2396,1,-3.001211934328051,False,0.3,0.3,3.2609027281561556,0.87977943620998
2397,121,2.9330518867369255,True,0.9639232161889937,0.14251444942381716,0.7388223073575563,1.744288250636466
2398,50,2.9864256391349295,True,0.9684173575152053,0.16292667323421045,0.26905534598007214,0.20599017816368526
2399,47,-3.0660491456687025,False,0.948515688020333,0.17734075693179974,0.26760665542836787,0.7838147704329341
2400,21,-3.030266526499256,False,0.8144832467001538,0.27257045002550967,0.6570070055718799,1.0351249374506004
2401,101,2.9458661114821405,True,0.9875891559746532,0.10251743823927811,0.13012375905461648,1.2492374799538715
2402,86,-3.0934581159908427,False,0.9607635362233478,0.16202421351738705,0.2524960854490901,1.8886017022154244
2403,131,2.90894496739156,True,0.9875465745678969,0.10616041863347425,0.1363597749832464,1.1319747436415357
2404,88,-3.1402294623807165,False,0.9215768989937526,0.2229632530772402,0.2804465107421084,1.8907228635578561
2405,97,2.964714253379262,True,0.913331898368803,0.20695375556295845,0.22163601822456747,1.7459706108013522
2406,11,2.999187367333128,True,0.8885875642372412,0.24225539955159467,0.2269302655688374,0.7947472480628877
2407,139,2.9069143871355525,True,0.9802319268253327,0.15594198280904814,0.18307377587036283,0.6429382202502281
2408,57,-3.0833572571895327,False,0.9416319178393102,0.16929600733961803,0.160295173982297,0.9382581560716181
2409,86,2.9599585258708494,True,0.9821140640825499,0.10734206100945633,0.10115440126149,0.8798927552015718
2410,32,-3.0199912645928095,False,0.9480693942521026,0.17418706796334224,0.3244666241683266,1.8401936632574982
2411,180,2.8357008818267024,True,0.9881856581309082,0.09645846970784461,0.11179476080919656,0.17881364860358162
2412,70,2.97307930775921,True,0.9793695917081893,0.11844860846822353,0.1331948112993918,1.3049359012336195
2413,151,2.877822266829757,True,0.9897597547409621,0.07361034366203553,0.08978084680981155,0.16635950068507066
2414,69,2.9747375233174855,True,0.9780178803409815,0.09901475706280427,0.1126192549128156,1.8101540306570898
2415,159,2.877075089668857,True,0.9636912901018089,0.18328777279165745,1.3772144275183178,0.6884990994674469
2416,95,-3.0418426998666432,False,0.8839742885423264,0.20014972020746105,0.24887812835116355,1.978705256904714
2417,47,-3.0559840166161543,False,0.9595076888119729,0.1712010669692113,0.23047340929392782,1.3578070156566115
