,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,alignment
2913,15,-3.0271438130333723,False,0.8276053697516589,0.29681048767771995,0.3306973054440777,6.832497792397286
2914,55,2.9836747026269044,True,0.9677957906937301,0.15342815009128408,0.7148243618678566,2.069528697922829
2915,73,2.971875649493201,True,0.9819647685552706,0.0940766667579953,0.10991911575482692,8.413790663439219
2916,61,2.9819574731181,True,0.9748682772188507,0.13403282256617136,0.3175047020240825,1.1531774776845927
2917,107,-3.0993269715950618,False,0.972774029467867,0.18368724521056112,0.18330248859188722,3.459516094869677
2918,102,2.9497541670738876,True,0.9836759085170131,0.11400979859471524,0.11278246829199899,5.629928968650112
2919,108,-3.082079216278709,False,0.9616972358548344,0.1437550542428434,0.19702404088196154,9.104424989548928
2920,154,2.87951685489444,True,0.9799819972108847,0.1294029492589987,0.8334335296245539,4.6616188893913515
2921,158,-3.1688540595153736,False,0.9662607165059955,0.10783945483213744,0.13453734420786626,7.33204699650416
2922,118,2.9272960575733746,True,0.9794255168664967,0.10911158267989479,0.16514067660025225,3.2651077949318363
2923,60,2.982129287843494,True,0.94869971312483,0.20075937871776486,0.27239490899547286,1.1905187488434044
2924,159,2.87545648188482,True,0.9887422666684903,0.13919570846158935,0.17195639918993114,1.0127552567196962
