,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,separation_range
5105,5,2.9997847022467665,True,0.7334593353239456,0.24795363192752612,0.5681849893825862,38.23164219808134
5106,25,2.996185739899129,True,0.9480902773276234,0.15747512088231821,0.18338127320820286,35.14597372162604
5107,103,2.943966878747312,True,0.9760817124406237,0.16211346061454426,0.2093993648072013,24.15870689023272
5108,49,-3.052701338172565,False,0.7402333588052666,0.29650156300037156,3.2610634221449684,0.4402127149174184
5109,143,2.8944062907734662,True,0.9815256062114068,0.14980109244286297,0.1948791814272662,34.9626723594689
5110,97,2.9535623290586615,True,0.9606760099410787,0.19206303228660332,1.0766217354526308,35.03378466257452
5111,65,2.9765921334763483,True,0.9802779924410373,0.08117328576575782,0.11182496454693515,10.336716104540876
5112,105,2.9406626294501583,True,0.9808022994030418,0.13455918681052456,1.0322080611567936,11.283404508307253
5113,128,2.9153102050600754,True,0.9734793626599269,0.16006105933768527,0.20246812358604366,17.49748540107168
5114,46,2.98773182284866,True,0.9303899203268307,0.08217955585986957,0.23677439415688256,2.0304246566738193
5115,97,2.9509956926935637,True,0.9711490287072263,0.125523861771386,0.12495156775879293,18.834150163825143
5116,84,2.9631997858414736,True,0.981980983269756,0.13714860412181995,0.2002911744117173,4.730758511793787
5117,45,2.9909041942190746,True,0.9718443624264012,0.12775038854985934,0.1118182723477657,37.09613690436318
5118,1,-3.0007295103019462,False,0.30000000000000004,0.30000000000000004,1.369208743394323,17.976480327287796
5119,118,2.924469848407498,True,0.9860456066716764,0.09160330523042677,0.1396475068540404,4.734401956966621
5120,88,2.958048382682929,True,0.9826883158457698,0.13014944030461406,0.19132765487469097,11.207241110197298
5121,22,-3.0064470539863253,False,0.8931282886721476,0.2531624871927815,0.5242408456430913,29.177105491380484
5122,105,2.941290360260298,True,0.9770776156689738,0.13841232882433765,0.14041199748994426,10.090260178510842
5123,29,-3.032299194075289,False,0.9446983608449425,0.175923824907453,0.3398133177436973,8.688654037303065
5124,115,2.929665414539458,True,0.9627406759202615,0.07304033840269399,0.11832760501411234,4.459959228154617
5125,1,-3.0014162286548967,False,0.30000000000000004,0.30000000000000004,0.524425889974742,36.650118586354026
5126,33,2.9944225655124663,True,0.9372186772654453,0.16851192750803384,0.8902186020869606,20.446074790253633
5127,104,2.9427465351409885,True,0.9690568723239175,0.17543537833492115,0.23047427137665083,13.875444716698517
5128,88,2.958379951597633,True,0.9785872467439904,0.06996033713204532,0.1260935970859575,1.8906414226344692
5129,1,-3.000733327789193,False,0.30000000000000004,0.30000000000000004,4.74746708756294,14.975574849775688
5130,123,2.918774570044411,True,0.9819906231755637,0.17099679760309638,0.17065580827307744,22.3209970705283
5131,57,2.9847662953861493,True,0.9513765433094808,0.18385460393801317,0.48415215045904586,15.710715922810401
5132,109,-3.0789132655503098,False,0.94055854889101,0.12063506767520608,0.3939378794950083,1.9741022456835111
5133,65,2.978852128658021,True,0.9635446421485346,0.16569960228494143,0.2517903006301918,34.84655641404061
5134,50,2.985968435378573,True,0.9742178806278017,0.06676985550265452,0.08523159433308557,9.9074090451069
5135,79,2.96961613342409,True,0.9674265597257453,0.18502499693800734,1.0810599536482532,28.50173790467403
5136,40,2.990793212480228,True,0.9599235842370678,0.11542428940803973,0.21713639832503168,19.33311674795167
5137,196,2.8013844267871675,True,0.9854917555245133,0.14666078636772578,0.17383567183901136,23.833741690787665
5138,197,2.8010631529566745,True,0.9832672165146636,0.14933638831798085,0.17902861438085246,29.32663899320749
5139,42,2.9902198425763435,True,0.9618061141151442,0.14410838015530855,0.1307350418752796,22.788153325691475
5140,105,2.943962212547004,True,0.9723969951235034,0.1849296568882332,0.44124876558152226,21.588090266323334
5141,91,2.957493083169584,True,0.9755387473677816,0.1878160627351004,0.24516664473288452,33.24247551760256
5142,89,2.9593263606636757,True,0.9722347299409564,0.1693191974068331,1.2724648233412563,26.86987611559184
5143,1,-3.0013179118912796,False,0.04021400213241577,0.04021400213241577,0.9960337429748092,0.6859041134403343
5144,188,2.818250530602376,True,0.988935633457698,0.14000578680665487,1.0280479426135003,19.15917971612577
5145,185,2.8326175404537226,True,0.977303847215146,0.17628791631427326,0.17463189523487152,16.302566785481144
