,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,max_velocity
7693,106,-3.035579251215103,False,0.8711764491285646,0.2353143985674501,0.8370172165363664,1.3717537400465691
7694,1,-3.001705415592845,False,0.0,0.0,0.22129728606289628,0.4570265282744217
7695,189,2.812278760882175,True,0.9919171366053291,0.05711344886849768,0.21712624820678406,0.5126829672592625
7696,2,-3.0009411282313243,False,0.3348572948410332,0.3,2.9701489415409044,0.7568611768763258
7697,89,2.9578438988561473,True,0.9788489134018262,0.09643860665745764,0.15060121387878436,1.1550082598047888
7698,86,-3.068087910576254,False,0.8713180610593152,0.23167447408473718,0.3500645977859285,1.3445060562720335
7699,89,2.969747627467635,True,0.9839155156377614,0.1286066527589289,0.20321220804909393,0.20183443023069914
7700,89,2.956463321952817,True,0.9864867190356797,0.01885126544232137,0.017361392796889606,1.3260562302247876
7701,96,2.9497149237063818,True,0.9682620523243353,0.02995068315549729,0.10010296381383745,1.93292921676199
7702,208,2.828321666768177,True,0.9706486038582102,0.14638327631989234,0.15214919514345773,1.8769828023458643
7703,91,-3.0590698234456273,False,0.9613605455833427,0.210102257877907,0.20836314304461695,1.7563507069036564
7704,5,-3.00750738894346,False,0.3790227881566551,0.3,0.6178802068732411,0.39408281106442855
7705,200,-3.2105063120798083,False,0.9614714585422245,0.1957631795299354,0.2230145684997318,1.0863399624169594
7706,72,2.9724919724428776,True,0.9714923887371136,0.13936027320982225,0.8692309150205179,1.8791628769210529
