,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,cohesion
7400,108,2.9375482871026604,True,0.9766175312455734,0.09760409954384013,0.14435375620538937,1.3629043580940248
7401,56,2.9822865320927523,True,0.975920482731696,0.04519241799533357,0.15770066851405132,8.058045199117599
7402,158,2.872456615535292,True,0.9850501591728487,0.08431853888040611,0.12128911037637913,6.467574626698404
7403,1,-3.0013762714746934,False,0.30000000000000004,0.30000000000000004,1.3836163096530028,0.4478186347579738
7404,153,2.8911589129777973,True,0.9785632005567799,0.15087905235779026,0.15931579898860285,2.50221279924157
7405,91,2.9565708992589412,True,0.9769687531342695,0.09721903095808199,0.564999283245357,7.2005303126928535
7406,96,2.954464638348343,True,0.9691324381480468,0.16951473541190198,0.25099869911091843,2.797097324433153
7407,169,2.947922956879749,True,0.9722076142347832,0.1275956866214316,0.19209467744724062,5.827067189602571
7408,205,-3.0872543192557185,False,0.9717485662501154,0.15003381922931866,0.17640614877132277,2.951899062175445
7409,1,-3.0011548572304005,False,0.3,0.3,4.423381344890908,9.204622859353575
7410,44,2.988962767108029,True,0.9708116643499441,0.04795020112764926,0.14440728798684066,8.04740189498415
7411,109,2.938152332128317,True,0.9845467514493194,0.10533273271605212,0.4273669282086378,2.8150555521592646
7412,96,2.958720691849575,True,0.9518646477295407,0.17740715704608723,0.18848098661550158,0.2302906893268608
7413,104,2.942055429538249,True,0.983408985141664,0.0809965439625017,0.07532293143080215,6.627366506740428
7414,6,-3.003614745114332,False,0.0,0.0,0.9850905203545833,3.504521767064607
7415,12,-3.0221703729561913,False,0.7682201414398406,0.3,0.9254550600443324,3.317817972838152
7416,102,2.9441934312664952,True,0.9811966982403084,0.07183915738426341,0.2384715528890342,4.586991515980747
7417,133,2.9059459565335426,True,0.9845545855017224,0.07151416547716313,0.07724295660420973,8.949810280717832
7418,87,2.9603285813592524,True,0.9712076166936424,0.05888501890702204,0.07242297757748914,6.596022491523663
7419,2,-3.001307457119028,False,0.3838957482612084,0.29999999999999993,3.1349387535885445,9.686107548069433
7420,2,-3.0010580062405605,False,0.4499536263388325,0.3,2.7789216408327038,0.8474317553030053
7421,263,2.8077330971400802,True,0.9785291107126248,0.14303200467024083,0.208724032196423,4.018240380864176
7422,90,2.9659784497571775,True,0.9730512469383881,0.07441505357410397,0.10299335598411735,6.704263091402139
7423,173,2.842719104976209,True,0.9868355185358068,0.09812578012330335,0.12931598955266885,4.588097696551648
7424,15,2.9985600421572896,True,0.9072948158374924,0.25726122414965263,0.6201645814518285,3.735667680656547
7425,42,2.9904276770601013,True,0.9666880928339368,0.18098734988189105,0.32532289900562017,4.27407303187721
7426,48,2.987214069501682,True,0.9573926769432216,0.1452753716729153,0.25341830501062873,8.933482598661206
7427,39,2.9916981851105193,True,0.9364024486878418,0.2327683326801141,0.4049917273465463,5.738996321677772
